name,party,dim1,dim2
Awet Tesfaiesus,BÜNDNIS 90/DIE GRÜNEN,0.04253642796280008,-0.022511988826561437
Beate Müller-Gemmeke,BÜNDNIS 90/DIE GRÜNEN,0.04186693214719554,-0.024029613791666352
Beate Walter-Rosenheimer,BÜNDNIS 90/DIE GRÜNEN,0.04180756063390464,-0.014158098753104538
Bernhard Herrmann,BÜNDNIS 90/DIE GRÜNEN,0.04282501468045018,-0.023300678041112455
Bettina Hoffmann,BÜNDNIS 90/DIE GRÜNEN,0.042889532270902156,-0.02441539417222017
Boris Mijatović,BÜNDNIS 90/DIE GRÜNEN,0.04321194981056402,-0.023540350912882334
Britta Haßelmann,BÜNDNIS 90/DIE GRÜNEN,0.04314327394429654,-0.026245015363737502
Bruno Hönel,BÜNDNIS 90/DIE GRÜNEN,0.04274852220520158,-0.024738943901280754
Canan Bayram,BÜNDNIS 90/DIE GRÜNEN,0.025948448245649958,-0.029180560704362233
Cem Özdemir,BÜNDNIS 90/DIE GRÜNEN,0.04339175562357525,-0.018238395194540832
Chantal Kopf,BÜNDNIS 90/DIE GRÜNEN,0.042308575820489275,-0.022791766415717448
Christian Kühn,BÜNDNIS 90/DIE GRÜNEN,0.04236906318443676,-0.016415160146406947
Christina-Johanne Schröder,BÜNDNIS 90/DIE GRÜNEN,0.04239937644087553,-0.018948139705121658
Claudia Müller,BÜNDNIS 90/DIE GRÜNEN,0.042647100172199325,-0.01857343824178568
Claudia Roth,BÜNDNIS 90/DIE GRÜNEN,0.041585928888085134,-0.019626764163996092
Corinna Rüffer,BÜNDNIS 90/DIE GRÜNEN,0.04089162421825516,-0.02180356616449938
Deborah Düring,BÜNDNIS 90/DIE GRÜNEN,0.042831066778163736,-0.02658945367120248
Denise Loop,BÜNDNIS 90/DIE GRÜNEN,0.042673303811303284,-0.019626878720428412
Dieter Janecek,BÜNDNIS 90/DIE GRÜNEN,0.04307327858828789,-0.025403644565129214
Ekin Deligöz,BÜNDNIS 90/DIE GRÜNEN,0.04233793672185225,-0.013963006073460713
Emilia Fester,BÜNDNIS 90/DIE GRÜNEN,0.04274052213101613,-0.024070550529544005
Erhard Grundl,BÜNDNIS 90/DIE GRÜNEN,0.0417528581365349,-0.022974196042793067
Felix Banaszak,BÜNDNIS 90/DIE GRÜNEN,0.0423682278421636,-0.022759478387307013
Filiz Polat,BÜNDNIS 90/DIE GRÜNEN,0.04217291452719259,-0.02237476865444848
Frank Bsirske,BÜNDNIS 90/DIE GRÜNEN,0.04243684618311159,-0.019016036746483896
Franziska Brantner,BÜNDNIS 90/DIE GRÜNEN,0.04319866143984676,-0.021888365224555957
Franziska Krumwiede-Steiner,BÜNDNIS 90/DIE GRÜNEN,0.04229392805222421,0.0018794788071283307
Hanna Steinmüller,BÜNDNIS 90/DIE GRÜNEN,0.043214571470682514,-0.026174214725484105
Harald Ebner,BÜNDNIS 90/DIE GRÜNEN,0.04318804023377359,-0.021208067870407105
Helge Limburg,BÜNDNIS 90/DIE GRÜNEN,0.04285880534155434,-0.02315315915372228
Ingrid Nestle,BÜNDNIS 90/DIE GRÜNEN,0.0431755481432203,-0.022374412667085168
Irene Mihalic,BÜNDNIS 90/DIE GRÜNEN,0.043084480202110045,-0.026195224454729053
Jamila Anna Schäfer,BÜNDNIS 90/DIE GRÜNEN,0.04321871411655691,-0.021484866188980017
Jan-Niclas Gesenhues,BÜNDNIS 90/DIE GRÜNEN,0.04270757982291242,-0.023935485409562786
Janosch Dahmen,BÜNDNIS 90/DIE GRÜNEN,0.04267857137523673,-0.022495256690841087
Johannes F. Kretschmann,BÜNDNIS 90/DIE GRÜNEN,0.03595458348980966,0.00542660883088858
Johannes Wagner,BÜNDNIS 90/DIE GRÜNEN,0.04305340344108581,-0.024289461499573492
Julia Verlinden,BÜNDNIS 90/DIE GRÜNEN,0.04276907005787408,-0.0250545342541285
Julian Pahlke,BÜNDNIS 90/DIE GRÜNEN,0.04184671149823169,-0.021742834188237498
Jürgen Kretz,BÜNDNIS 90/DIE GRÜNEN,0.042339917763140965,4.6773774726813065e-4
Jürgen Trittin,BÜNDNIS 90/DIE GRÜNEN,0.04073849657372703,-0.012866257596992175
Kai Gehring,BÜNDNIS 90/DIE GRÜNEN,0.043101296829775676,-0.026021381336037302
Karl Bär,BÜNDNIS 90/DIE GRÜNEN,0.042254520690271226,-0.025052071568864628
Karoline Otte,BÜNDNIS 90/DIE GRÜNEN,0.042428156996006466,-0.02261663283182246
Kassem Taher Saleh,BÜNDNIS 90/DIE GRÜNEN,0.043215105582736134,-0.02541304709320568
Katharina Beck,BÜNDNIS 90/DIE GRÜNEN,0.04304898162197117,-0.023375012494791958
Katharina Dröge,BÜNDNIS 90/DIE GRÜNEN,0.04322386212033553,-0.026102276444919886
Kathrin Henneberger,BÜNDNIS 90/DIE GRÜNEN,0.04064278135039393,-0.021177790029927403
Katja Keul,BÜNDNIS 90/DIE GRÜNEN,0.04288564255202374,-0.023435627215538053
Katrin Göring-Eckardt,BÜNDNIS 90/DIE GRÜNEN,0.04305338730905695,-0.02202525643968512
Katrin Uhlig,BÜNDNIS 90/DIE GRÜNEN,0.04323286527342545,-0.025094696769916703
Kirsten Kappert-Gonther,BÜNDNIS 90/DIE GRÜNEN,0.04314854495359333,-0.023692749360969035
Konstantin von Notz,BÜNDNIS 90/DIE GRÜNEN,0.04311373026808282,-0.023715405038877212
Kordula Schulz-Asche,BÜNDNIS 90/DIE GRÜNEN,0.043410828863751395,-0.024231978757889322
Lamya Kaddor,BÜNDNIS 90/DIE GRÜNEN,0.043217184269753524,-0.021775657587495365
Laura Kraft,BÜNDNIS 90/DIE GRÜNEN,0.04328903130126823,-0.023465654479773272
Leon Eckert,BÜNDNIS 90/DIE GRÜNEN,0.043219049187302475,-0.025093846770971703
Linda Heitmann,BÜNDNIS 90/DIE GRÜNEN,0.043138492817083735,-0.02596726200741744
Lisa Badum,BÜNDNIS 90/DIE GRÜNEN,0.042908506007531794,-0.020752670617930614
Lisa Paus,BÜNDNIS 90/DIE GRÜNEN,0.043239392124714886,-0.019458468213472035
Luise Amtsberg,BÜNDNIS 90/DIE GRÜNEN,0.04375208712158593,-0.01559722121853377
