name,party,dim1_imp,dim1_dc
Erich Irlstorfer,CDU/CSU,0.03084201025147517,0.03362843514181092
Erwin Rüddel,CDU/CSU,0.02905559661643497,0.055700849308712365
Fabian Gramling,CDU/CSU,0.030110764130807998,0.05237620015619221
Felix Schreiner,CDU/CSU,0.029038087980064527,0.05486447889153815
Florian Hahn,CDU/CSU,0.030871620224069023,0.051599329372423175
Florian Müller,CDU/CSU,0.0291753277404011,0.05195195697801335
Florian Oßner,CDU/CSU,0.02964058121669335,0.05677595077340102
Franziska Hoppermann,CDU/CSU,0.028624004871168514,0.056971062238122275
Friedrich Merz,CDU/CSU,0.02800464204209994,0.056097516376665234
Fritz Güntzler,CDU/CSU,0.029304165724094732,0.05291755719886042
Georg Kippels,CDU/CSU,0.02906152911032611,0.05523504162581783
Gero Storjohann,CDU/CSU,0.030267783343652422,0.004374515522619218
Gitta Connemann,CDU/CSU,0.029331199227068644,0.05132983951811697
Gunther Krichbaum,CDU/CSU,0.030195384698951444,0.05297213937966614
Günter Krings,CDU/CSU,0.03013128798575361,0.05037507465270501
Hans-Jürgen Thies,CDU/CSU,0.028017715461494144,0.05434824665464359
Hans-Peter Friedrich,CDU/CSU,0.030588370836634363,0.039165590012062455
Hansjörg Durz,CDU/CSU,0.0289706789570823,0.05785190472678431
Heike Brehmer,CDU/CSU,0.02945181519741312,0.03657080608830932
Helge Braun,CDU/CSU,0.02943500201684038,0.052325425052920975
Hendrik Hoppenstedt,CDU/CSU,0.03054398996854844,0.046336301378503655
Henning Otte,CDU/CSU,0.030228775199698688,0.05072893339583237
Henning Rehbaum,CDU/CSU,0.029436846501795816,0.052558583142630566
Hermann Färber,CDU/CSU,0.028899884162209306,0.051514340019229166
Hermann Gröhe,CDU/CSU,0.02953861313975283,0.05571429850182879
Hermann-Josef Tebroke,CDU/CSU,0.029231571200469583,0.056556012414388186
Hubert Hüppe,CDU/CSU,0.029096718335480293,0.05342183328546129
Inge Gräßle,CDU/CSU,0.028561937735724158,0.04974176637474659
Ingmar Jung,CDU/CSU,0.028819951927561704,0.03450319002115472
Ingo Gädechens,CDU/CSU,0.03004782375632013,0.05417827078959233
Ingo Wellenreuther,CDU/CSU,0.0480115005633042,0.002318210922435151
Ingrid Pahlmann,CDU/CSU,0.03431890460473047,0.017237873098775447
Jan Metzler,CDU/CSU,0.029117407671930755,0.058015087153437055
Jan-Marco Luczak,CDU/CSU,0.031611167739843044,0.044001546090601286
Jana Schimke,CDU/CSU,0.029640989594392007,0.03873471156519219
Jens Koeppen,CDU/CSU,0.019434573397084324,0.026377378473898656
Jens Lehmann,CDU/CSU,0.02984236651438855,0.054719817377978486
Jens Spahn,CDU/CSU,0.028070893465797938,0.0497467175986819
Johann Wadephul,CDU/CSU,0.029043137594867343,0.04916134940619522
Johannes Steiniger,CDU/CSU,0.02994292492306348,0.05590316939307819
Jonas Geissler,CDU/CSU,0.030790018332801327,0.05069715270474312
Josef Oster,CDU/CSU,0.030074895436991215,0.05131724393910848
Josef Rief,CDU/CSU,0.02967345280251441,0.05481490650529329
Julia Klöckner,CDU/CSU,0.029832313033843132,0.05159439892109307
Jürgen Hardt,CDU/CSU,0.030970223621195926,0.05174499579053
Kai Whittaker,CDU/CSU,0.030214141078563767,0.050558684605288166
Katja Leikert,CDU/CSU,0.02964930607250934,0.052010526722406324
Katrin Staffler,CDU/CSU,0.030117564303982308,0.04331133521231347
Kerstin Radomski,CDU/CSU,0.02823300592128742,0.051462915012165586
Kerstin Vieregge,CDU/CSU,0.030362172859861918,0.05037721102529545
Klaus Mack,CDU/CSU,0.029450804987066752,0.05587578290313433
Klaus Wiener,CDU/CSU,0.02869932627880554,0.055671086741463836
