name,party,dim1,dim2
Swantje Michaelsen,BÜNDNIS 90/DIE GRÜNEN,-0.032037555788985386,0.012488883191949237
Tabea Rößner,BÜNDNIS 90/DIE GRÜNEN,-0.03315830088311059,0.006684242773594326
Tessa Ganserer,BÜNDNIS 90/DIE GRÜNEN,-0.02228978603328279,0.004241891321756208
Till Steffen,BÜNDNIS 90/DIE GRÜNEN,-0.033204742698075225,0.007521385774336411
Tina Winklmann,BÜNDNIS 90/DIE GRÜNEN,-0.033365011001988916,0.008251607554363084
Tobias B. Bacherle,BÜNDNIS 90/DIE GRÜNEN,-0.03350475154247618,0.009756793155892618
Tobias Lindner,BÜNDNIS 90/DIE GRÜNEN,-0.028268556890711016,0.007480139621274468
Ulle Schauws,BÜNDNIS 90/DIE GRÜNEN,-0.024457533447919268,0.010403466697976508
Uwe Kekeritz,BÜNDNIS 90/DIE GRÜNEN,-0.0017369548276746016,0.0015299856896157313
Wolfgang Strengmann-Kuhn,BÜNDNIS 90/DIE GRÜNEN,-0.030267237789667393,0.009046012134613094
Zoe Mayer,BÜNDNIS 90/DIE GRÜNEN,-0.03093079034714878,0.007047693790460153
Albert Rupprecht,CDU/CSU,0.05485066821141118,0.032848789933653914
Albert Stegemann,CDU/CSU,0.05257118519356756,0.030397066944692276
Alexander Dobrindt,CDU/CSU,0.054659391104841845,0.03299098074150819
Alexander Engelhard,CDU/CSU,0.04407737610949644,0.033052404366043446
Alexander Föhr,CDU/CSU,0.03212577584575578,0.01442549417915368
Alexander Hoffmann,CDU/CSU,0.056535420445939635,0.035410584133004824
Alexander Radwan,CDU/CSU,0.05618014172371507,0.03452585395935761
Alexander Throm,CDU/CSU,0.055185098782996544,0.03462732443819176
Alois Rainer,CDU/CSU,0.05677165116252601,0.0346317852364875
Andrea Lindholz,CDU/CSU,0.051009025988109837,0.03575347340864996
Andreas Jung,CDU/CSU,0.051821829753748265,0.028443328401903018
Andreas Lenz,CDU/CSU,0.053835725216532675,0.032589312353609005
Andreas Mattfeldt,CDU/CSU,0.04064924242349926,0.020838717539643455
Andreas Scheuer,CDU/CSU,0.03736294397482,0.029240484644370006
André Berghegger,CDU/CSU,0.03948416326587969,0.026518721327114178
Anja Karliczek,CDU/CSU,0.05455417848730155,0.03279513549065897
Anja Weisgerber,CDU/CSU,0.05405818876879057,0.032024374127237167
Anne Janssen,CDU/CSU,0.055381627820708525,0.036134864244620396
Anne König,CDU/CSU,0.04386931471499276,0.025850687081526092
Annette Widmann-Mauz,CDU/CSU,0.049005454841260426,0.03814373209344401
Ansgar Heveling,CDU/CSU,0.05548444022584352,0.032492404624155764
Antje Tillmann,CDU/CSU,0.051831776943048906,0.03758901078019148
Armin Laschet,CDU/CSU,0.044531192180961715,0.02208092165711281
