name,party,irt,svd_imp,svd_dc
Leon Eckert,BÜNDNIS 90/DIE GRÜNEN,-1.1101333594687235,0.043219049187302475,-0.034306197106077886
Lina Seitzl,SPD,-0.5708431455473025,0.04263878310546388,-0.027834870386755427
Linda Heitmann,BÜNDNIS 90/DIE GRÜNEN,-1.5587171806851223,0.043138492817083735,-0.03513640460061754
Linda Teuteberg,FDP,0.250420322916341,0.04100221369984017,-0.02374653703321025
Lisa Badum,BÜNDNIS 90/DIE GRÜNEN,-0.08596966172280412,0.042908506007531794,-0.030123139704257566
Lisa Paus,BÜNDNIS 90/DIE GRÜNEN,-1.7700669349145115,0.043239392124714886,-0.02847326776689501
Lucia Schanbacher,SPD,-0.4909514090387939,0.03595458348980966,-0.0020396279573502707
Luise Amtsberg,BÜNDNIS 90/DIE GRÜNEN,-0.6765427746546111,0.04375208712158593,-0.024469279203248658
Luiza Licina-Bode,SPD,-1.0250953403044785,0.043251901354250985,-0.03143612430200111
Lukas Benner,BÜNDNIS 90/DIE GRÜNEN,-1.4083291510672644,0.04327752442617194,-0.034364373721170384
Lukas Köhler,FDP,-0.3769522574113237,0.04258122991210521,-0.02844278060819188
Macit Karaahmetoğlu,SPD,-0.9874646496527774,0.04310817538103812,-0.030721394770942233
Mahmut Özdemir,SPD,-0.09171782654688745,0.042471234977805125,-0.03522369913732902
Maik Außendorf,BÜNDNIS 90/DIE GRÜNEN,-0.5098081152542558,0.043126855460195665,-0.035397354851850624
Maja Wallstein,SPD,0.31596369556854004,0.041583569590518094,-0.031143619547673432
Malte Kaufmann,AfD,1.5144373178064479,0.010459881399458908,0.026063486242364313
Manfred Grund,CDU/CSU,0.9979657785503453,0.030871627025937647,0.038108474494797845
Manfred Schiller,AfD,1.5328567176990406,0.020979767561435082,0.004200554769656587
Manfred Todtenhausen,FDP,-0.5191095910315107,0.042803568631100034,-0.029328581041361504
Manuel Gava,SPD,-1.0489016255937795,0.04301830754864886,-0.019904805495790934
Manuel Höferlin,FDP,-0.27821213912308057,0.042930958379955836,-0.0295279215557268
Manuela Rottmann,BÜNDNIS 90/DIE GRÜNEN,-1.0024761090640166,0.04316506917441769,-0.03212173992005586
